idu;commune;adresse_ban;code_postal;ville;surface_m2;tier_v2;rang_v2;mult_v2;copro;veille_succession;statut_matrice;q_score;a_score;completeness;proprio;v_score;v_band;top_signaux
97423000AH0156;Les Trois-Bassins;52 Rue du Touring Hôtel;97426;Les Trois-Bassins;900;a_creuser;44506;1.3;;;ecartee;16;63;92;;0;aucun;
97423000AI0338;Les Trois-Bassins;;;;170;a_creuser;44843;1.3;;;ecartee;8;62;92;;0;aucun;
97423000AK1779;Les Trois-Bassins;39 Chemin Marocain;97426;Les Trois-Bassins;826;a_creuser;45086;1.3;;;ecartee;26;58;92;;0;aucun;
97423000AK0660;Les Trois-Bassins;20 Rue des Bringéliers;97426;Les Trois-Bassins;483;a_creuser;45089;1.3;;;ecartee;24;61;92;;0;aucun;
97423000AB1843;Les Trois-Bassins;1 Allée des Palmiers;97426;Les Trois-Bassins;575;a_creuser;45508;1.3;;;ecartee;41;63;92;;0;aucun;
97423000AK1212;Les Trois-Bassins;;;;443;a_creuser;45964;1.3;;;ecartee;24;62;92;UDAF REUNION;0;aucun;
97423000AK1031;Les Trois-Bassins;;;;668;a_creuser;45975;1.3;;;ecartee;35;62;92;;0;aucun;
97423000AB1943;Les Trois-Bassins;9 Chemin des Boudous;97426;Les Trois-Bassins;945;a_creuser;46127;1.3;;;ecartee;44;66;92;;0;aucun;
97423000AB1903;Les Trois-Bassins;23 apprt 1 Impasse des Pétrels;97426;Les Trois-Bassins;438;a_creuser;47767;1.3;;;ecartee;34;63;92;;0;aucun;
97423000AE0632;Les Trois-Bassins;1 Impasse des Lauriers;97426;Les Trois-Bassins;648;a_creuser;48573;1.3;;;ecartee;22;51;92;;0;aucun;
97423000AB1264;Les Trois-Bassins;1 Chemin des Flamboyants;97426;Les Trois-Bassins;542;a_creuser;49416;1.3;;;ecartee;28;64;92;;0;aucun;
97423000AK1473;Les Trois-Bassins;;;;510;a_creuser;49874;1.3;;;ecartee;37;63;92;;0;aucun;
97423000AK1882;Les Trois-Bassins;28 Chemin Col de Cygne;97426;Les Trois-Bassins;473;a_creuser;50044;1.3;;;ecartee;32;70;92;SOCIETE IMMOBILIERE DEPARTEMENT REUNION;;na;
97423000AH0743;Les Trois-Bassins;;;;403;a_creuser;51536;1.3;;;ecartee;14;63;92;;0;aucun;
97423000AB1836;Les Trois-Bassins;;;;5389;a_creuser;52067;1.3;;;a_creuser;61;64;92;;0;aucun;
97423000AE1043;Les Trois-Bassins;15 Allée des Bananiers;97426;Les Trois-Bassins;355;a_creuser;52807;1.3;;;ecartee;1;56;92;;0;aucun;
97423000AK1327;Les Trois-Bassins;338 Route Hubert Delisle;97426;Les Trois-Bassins;424;a_creuser;52867;1.3;;;ecartee;24;59;92;;0;aucun;
97423000AH1314;Les Trois-Bassins;91 Rue du Touring Hôtel;97426;Les Trois-Bassins;559;a_creuser;53314;1.3;;;ecartee;43;63;92;;0;aucun;
97423000AI0824;Les Trois-Bassins;;;;269;a_creuser;53504;1.3;;;ecartee;10;60;92;;0;aucun;
97423000AK1718;Les Trois-Bassins;;;;293;a_creuser;53514;1.3;;;ecartee;22;63;92;;0;aucun;
97423000AE0917;Les Trois-Bassins;10 Rue Cocâtre;97426;Les Trois-Bassins;370;a_creuser;54441;1.3;;;ecartee;8;61;92;;0;aucun;
97423000AB0127;Les Trois-Bassins;9 Impasse de l'Albatros;97426;Les Trois-Bassins;430;a_creuser;54503;1.3;;;ecartee;47;65;92;;0;aucun;
97423000AH1202;Les Trois-Bassins;;;;120;a_creuser;54608;1.3;;;ecartee;8;61;92;;0;aucun;
97423000AH1770;Les Trois-Bassins;;;;361;a_creuser;54832;1.3;;;ecartee;25;62;92;;0;aucun;
97423000AB1350;Les Trois-Bassins;5 c Chemin des Boudous;97426;Les Trois-Bassins;2332;a_creuser;55051;1.3;;;a_surveiller;72;66;92;;0;aucun;
97423000AH1790;Les Trois-Bassins;43 a Rue du Général de Gaulle;97426;Les Trois-Bassins;639;a_creuser;55159;1.3;;;ecartee;30;63;92;;0;aucun;
97423000AH0570;Les Trois-Bassins;;;;221;a_creuser;55223;1.3;;;ecartee;1;57;92;;0;aucun;
97423000AE0878;Les Trois-Bassins;;;;420;a_creuser;55401;1.3;;;ecartee;1;60;92;SOCIETE CIVILE DES GRENADIERS;0;aucun;
97423000AH0326;Les Trois-Bassins;;;;218;a_creuser;55619;1.3;;;ecartee;1;63;92;;0;aucun;
97423000AK1507;Les Trois-Bassins;8 Chemin Bras Calebasse;97426;Les Trois-Bassins;445;a_creuser;55699;1.3;;;ecartee;20;60;92;;0;aucun;
97423000AI0823;Les Trois-Bassins;437 Route Hubert Delisle;97426;Les Trois-Bassins;322;a_creuser;55953;1.3;;;ecartee;22;60;92;;0;aucun;
97423000AB0139;Les Trois-Bassins;22 Allée des Tuits-Tuits;97426;Les Trois-Bassins;1254;a_creuser;57085;1.3;;oui;a_creuser;61;74;92;SCI ACORD;12;faible;Détention longue (aucune mutation DVF 2021-2025) — combinée à d'autres signaux | Siège Réunion, autre commune que la parcelle
97423000AB1355;Les Trois-Bassins;1 Chemin des Flamboyants;97426;Les Trois-Bassins;389;a_creuser;57495;1.3;;;ecartee;12;64;92;;0;aucun;
97423000AK0704;Les Trois-Bassins;244 a Route Hubert Delisle;97426;Les Trois-Bassins;527;a_creuser;57502;1.3;;;ecartee;13;58;92;;0;aucun;
97423000AK1893;Les Trois-Bassins;38 Chemin Col de Cygne;97426;Les Trois-Bassins;424;a_creuser;57568;1.3;;;ecartee;16;68;92;SOCIETE IMMOBILIERE DEPARTEMENT REUNION;;na;
97423000AE1020;Les Trois-Bassins;;;;305;a_creuser;57569;1.3;;;ecartee;30;55;92;;0;aucun;
97423000AD0602;Les Trois-Bassins;61 b Chemin Desbassyns;97426;Les Trois-Bassins;504;a_creuser;57587;1.3;;;ecartee;32;63;92;;0;aucun;
97423000AK0564;Les Trois-Bassins;7 Chemin des Acacias;97426;Les Trois-Bassins;237;a_creuser;57774;1.3;;;ecartee;1;55;92;;0;aucun;
97423000AH1510;Les Trois-Bassins;;;;141;a_creuser;57802;1.3;;;ecartee;1;62;92;;0;aucun;
97423000AK1560;Les Trois-Bassins;89 Rue Henri Auber;97426;Les Trois-Bassins;257;a_creuser;58329;1.3;;;ecartee;6;74;92;SOCIETE IMMOBILIERE DEPARTEMENT REUNION;;na;
97423000AD0403;Les Trois-Bassins;;;;214;a_creuser;58795;1.3;;;ecartee;1;64;92;;0;aucun;
97423000AK1713;Les Trois-Bassins;;;;234;a_creuser;58807;1.3;;;ecartee;4;63;92;;0;aucun;
97423000AK2058;Les Trois-Bassins;;;;760;a_creuser;58915;1.3;;;ecartee;25;66;92;SOCIETE D'AMENAGEMENT FONCIER ET D'ETABLISSEMENT RURAL DE LA;12;faible;Détention longue (aucune mutation DVF 2021-2025) — combinée à d'autres signaux | Siège Réunion, autre commune que la parcelle
97423000AE0648;Les Trois-Bassins;;;;610;a_creuser;58999;1.3;;;ecartee;22;58;92;;0;aucun;
97423000AK0982;Les Trois-Bassins;;;;167;a_creuser;59128;1.3;;;ecartee;31;61;92;;0;aucun;
97423000AB1385;Les Trois-Bassins;4 Allée des Cocotiers;97426;Les Trois-Bassins;212;a_creuser;59897;1.3;;;ecartee;20;64;92;;0;aucun;
97423000AK2076;Les Trois-Bassins;;;;381;a_creuser;60210;1.3;;;ecartee;9;58;92;;0;aucun;
97423000AD0618;Les Trois-Bassins;3 Allée des Merles;97426;Les Trois-Bassins;246;a_creuser;60341;1.3;;;ecartee;27;63;92;;0;aucun;
97423000AK0503;Les Trois-Bassins;;;;923;a_creuser;60458;1.3;;;ecartee;29;62;92;;0;aucun;
97423000AK1147;Les Trois-Bassins;66 Chemin Hibon;97426;Les Trois-Bassins;546;a_creuser;61159;1.3;;;ecartee;19;56;92;;0;aucun;
97423000AD0630;Les Trois-Bassins;42 Chemin Cap du Chat;97426;Les Trois-Bassins;522;a_creuser;61211;1.3;;;ecartee;15;66;92;SUD HABITAT CONSEIL;;na;
97423000AB1929;Les Trois-Bassins;;;;527;a_creuser;61300;1.3;;;ecartee;27;66;92;;0;aucun;
97423000AH1641;Les Trois-Bassins;28 d Rue Gabriel Mareuil;97426;Les Trois-Bassins;587;a_creuser;61306;1.3;;;ecartee;1;59;92;;0;aucun;
97423000AB0141;Les Trois-Bassins;23 Allée des Tuits-Tuits;97426;Les Trois-Bassins;1059;a_creuser;62075;1.3;;;ecartee;43;63;92;;0;aucun;
97423000AB1971;Les Trois-Bassins;13 Allée des Cocotiers;97426;Les Trois-Bassins;481;a_creuser;62159;1.3;;;ecartee;40;64;92;;0;aucun;
97423000AE1034;Les Trois-Bassins;;;;224;a_creuser;62457;1.3;;;ecartee;15;58;92;;0;aucun;
97423000AB1818;Les Trois-Bassins;3 Chemin Adélaïde;97426;Les Trois-Bassins;564;a_creuser;62644;1.3;;;a_creuser;58;62;92;;0;aucun;
97423000AH0733;Les Trois-Bassins;;;;602;a_creuser;63248;1.3;;;ecartee;29;62;92;;0;aucun;
97423000AK0809;Les Trois-Bassins;35 Rue des Bringéliers;97426;Les Trois-Bassins;635;a_creuser;63700;1.3;;;ecartee;1;62;92;;0;aucun;
97423000AB0685;Les Trois-Bassins;7 Allée des Palmiers;97426;Les Trois-Bassins;473;a_creuser;63899;1.3;;;ecartee;42;66;92;;0;aucun;
97423000AI0432;Les Trois-Bassins;;;;495;a_creuser;64271;1.3;;;ecartee;43;62;92;;0;aucun;
97423000AH1673;Les Trois-Bassins;41 a Rue du Touring Hôtel;97426;Les Trois-Bassins;380;a_creuser;64361;1.3;;;ecartee;14;63;92;;0;aucun;
97423000AH0764;Les Trois-Bassins;86 a Rue du Touring Hôtel;97426;Les Trois-Bassins;719;a_creuser;64415;1.3;;;ecartee;7;62;92;;0;aucun;
97423000AH0532;Les Trois-Bassins;;;;570;a_creuser;64652;1.3;;;ecartee;41;62;92;;0;aucun;
97423000AK0940;Les Trois-Bassins;;;;575;a_creuser;64771;1.3;;;ecartee;4;63;92;;0;aucun;
97423000AI0260;Les Trois-Bassins;46 Chemin Mnémonide;97426;Les Trois-Bassins;559;a_creuser;64888;1.3;;;ecartee;24;61;92;;0;aucun;
97423000AB1391;Les Trois-Bassins;23 b Chemin Adélaïde;97426;Les Trois-Bassins;1078;a_creuser;65364;1.3;;;a_surveiller;70;59;92;;0;aucun;
97423000AH0849;Les Trois-Bassins;;;;160;a_creuser;66084;1.3;;;ecartee;35;62;92;;0;aucun;
97423000AK0848;Les Trois-Bassins;8 Impasse de la Vigne;97426;Les Trois-Bassins;272;a_creuser;67545;1.3;;;ecartee;11;58;92;;0;aucun;
97423000AB0211;Les Trois-Bassins;9 Allée des Cocotiers;97426;Les Trois-Bassins;524;a_creuser;67892;1.3;;;ecartee;15;63;92;;0;aucun;
97423000AK1661;Les Trois-Bassins;308 b Route Hubert Delisle;97426;Les Trois-Bassins;481;a_creuser;67901;1.3;;;ecartee;24;61;92;;0;aucun;
97423000AH1055;Les Trois-Bassins;108 c Rue du Touring Hôtel;97426;Les Trois-Bassins;859;a_creuser;68111;1.3;;;ecartee;39;62;92;;0;aucun;
97423000AH0052;Les Trois-Bassins;;;;182;a_creuser;69163;1.3;;;ecartee;1;62;92;;0;aucun;
97423000AI0838;Les Trois-Bassins;;;;470;a_creuser;69493;1.3;;;ecartee;25;60;92;;0;aucun;
97423000AK0402;Les Trois-Bassins;322 Route Hubert Delisle;97426;Les Trois-Bassins;673;a_creuser;70050;1.3;;;ecartee;25;61;92;;0;aucun;
97423000AI0147;Les Trois-Bassins;;;;391;a_creuser;70075;1.3;;;ecartee;28;59;92;;0;aucun;
97423000AE0714;Les Trois-Bassins;21 Chemin Vabois;97426;Les Trois-Bassins;1007;a_creuser;70206;1.3;;;ecartee;16;56;92;;0;aucun;
97423000AH1772;Les Trois-Bassins;;;;394;a_creuser;70752;1.3;;;ecartee;15;62;92;;0;aucun;
97423000AI0272;Les Trois-Bassins;;;;300;a_creuser;70799;1.3;;;ecartee;13;62;92;;25;present;Friche recensée (Cartofriches) | Détention longue (aucune mutation DVF 2021-2025) — combinée à d'autres signaux
97423000AE0420;Les Trois-Bassins;;;;318;a_creuser;71578;1.3;;;ecartee;30;55;92;;0;aucun;
97423000AE0453;Les Trois-Bassins;2 Allée des Frangipaniers;97426;Les Trois-Bassins;465;a_creuser;71736;1.3;;;ecartee;1;57;92;;0;aucun;
97423000AH0841;Les Trois-Bassins;;;;403;a_creuser;72585;1.3;;;ecartee;11;59;92;;0;aucun;
97423000AH1771;Les Trois-Bassins;;;;371;a_creuser;73077;1.3;;;ecartee;15;62;92;;0;aucun;
97423000AB0138;Les Trois-Bassins;20 Allée des Tuits-Tuits;97426;Les Trois-Bassins;952;a_creuser;73132;1.3;;oui;chaude;65;73;92;SCI J B C;12;faible;Détention longue (aucune mutation DVF 2021-2025) — combinée à d'autres signaux | Siège Réunion, autre commune que la parcelle
97423000AC0059;Les Trois-Bassins;39 Chemin de l'École du Bois de Nèfles;97426;Les Trois-Bassins;229;a_creuser;73420;1.3;;;ecartee;1;56;92;;0;aucun;
97423000AD0629;Les Trois-Bassins;40 Chemin Cap du Chat;97426;Les Trois-Bassins;549;a_creuser;74168;1.3;;;ecartee;3;66;92;SOCIETE ANONYME D'HABITATIONS A LOYER MODERE DE LA REUNION;;na;
97423000AB0795;Les Trois-Bassins;5 Impasse de l'Albatros;97426;Les Trois-Bassins;703;a_creuser;74205;1.3;;;a_creuser;58;66;92;;0;aucun;
97423000AE0300;Les Trois-Bassins;;;;751;a_creuser;74280;1.3;;;ecartee;14;59;92;;0;aucun;
97423000AI0145;Les Trois-Bassins;;;;440;a_creuser;75060;1.3;;;ecartee;43;59;92;;0;aucun;
97423000AI0843;Les Trois-Bassins;24 Chemin de la Zone Artisanale;97426;Les Trois-Bassins;592;a_creuser;75371;1.3;;;ecartee;39;61;92;;0;aucun;
97423000AD0106;Les Trois-Bassins;;;;275;a_creuser;75530;1.3;;;ecartee;1;62;92;SUCCESSION DE MME AURE JEANNE;0;aucun;
97423000AE1055;Les Trois-Bassins;47 b Route Hubert Delisle;97426;Les Trois-Bassins;333;a_creuser;75629;1.3;;;ecartee;8;61;92;;0;aucun;
97423000AD0406;Les Trois-Bassins;2 a Chemin Charlemagne;97426;Les Trois-Bassins;709;a_creuser;76130;1.3;;;ecartee;40;62;92;;0;aucun;
97423000AE0516;Les Trois-Bassins;54 Chemin des Cactus;97426;Les Trois-Bassins;399;a_creuser;76363;1.3;;;ecartee;33;58;92;;0;aucun;
97423000AH1020;Les Trois-Bassins;;;;115;a_creuser;77169;1.3;;;ecartee;16;59;92;;0;aucun;
97423000AH0796;Les Trois-Bassins;37 a Rue du Touring Hôtel;97426;Les Trois-Bassins;914;a_creuser;77261;1.3;;;ecartee;19;63;92;;0;aucun;
97423000AK0631;Les Trois-Bassins;7 Rue des Bringéliers;97426;Les Trois-Bassins;412;a_creuser;77578;1.3;;;ecartee;24;61;92;;0;aucun;
97423000AH0586;Les Trois-Bassins;;;;105;a_creuser;77603;1.3;;;ecartee;26;62;92;;0;aucun;
97423000AB1383;Les Trois-Bassins;8 Allée des Cocotiers;97426;Les Trois-Bassins;559;a_creuser;77759;1.3;;;ecartee;23;64;92;;0;aucun;
97423000AK0642;Les Trois-Bassins;5 Rue des Goyaves;97426;Les Trois-Bassins;408;a_creuser;77764;1.3;;;ecartee;24;61;92;;0;aucun;
97423000AI0751;Les Trois-Bassins;10 b Chemin des Bougainvilliers;97426;Les Trois-Bassins;336;a_creuser;77820;1.3;;;ecartee;8;62;92;;0;aucun;
97423000AI0114;Les Trois-Bassins;;;;532;a_creuser;77912;1.3;;;ecartee;21;60;92;;0;aucun;
97423000AK0373;Les Trois-Bassins;;;;440;a_creuser;78125;1.3;;;ecartee;24;63;92;;0;aucun;
97423000AK1848;Les Trois-Bassins;32 Rue Henri Auber;97426;Les Trois-Bassins;252;a_creuser;78909;1.3;;;ecartee;8;75;92;SOCIETE IMMOBILIERE DEPARTEMENT REUNION;;na;
97423000AK0637;Les Trois-Bassins;2 Rue des Bringéliers;97426;Les Trois-Bassins;395;a_creuser;79157;1.3;;;ecartee;24;61;92;;0;aucun;
97423000AB1939;Les Trois-Bassins;10 Chemin des Boudous;97426;Les Trois-Bassins;1068;a_creuser;79283;1.3;;;ecartee;45;64;92;;0;aucun;
97423000AC0506;Les Trois-Bassins;2 c Rue des Amaryllis;97426;Les Trois-Bassins;481;a_creuser;79959;1.2;;;ecartee;1;61;92;;0;aucun;
97423000AH0551;Les Trois-Bassins;;;;154;a_creuser;81173;1.2;;;ecartee;18;63;92;;25;present;Friche recensée (Cartofriches) | Détention longue (aucune mutation DVF 2021-2025) — combinée à d'autres signaux
97423000AK0712;Les Trois-Bassins;3 Allée des Hortensias;97426;Les Trois-Bassins;489;a_creuser;82040;1.2;;;ecartee;6;63;92;;0;aucun;
97423000AE0421;Les Trois-Bassins;84 a Chemin des Cactus;97426;Les Trois-Bassins;429;a_creuser;82562;1.2;;;ecartee;37;56;92;;0;aucun;
97423000AD0548;Les Trois-Bassins;;;;1869;a_creuser;82812;1.2;;;ecartee;24;63;92;;0;aucun;
97423000AH0345;Les Trois-Bassins;;;;113;a_creuser;83277;1.2;;;ecartee;33;60;92;;0;aucun;
97423000AB1353;Les Trois-Bassins;3 Chemin des Flamboyants;97426;Les Trois-Bassins;1157;a_creuser;85157;1.2;;;a_creuser;55;64;92;;0;aucun;
97423000AK1167;Les Trois-Bassins;1 Chemin Pelletier;97426;Les Trois-Bassins;683;a_creuser;85279;1.2;;;ecartee;1;61;92;;0;aucun;
97423000AD0761;Les Trois-Bassins;;;;123;a_creuser;85518;1.2;;;ecartee;1;56;92;;0;aucun;
97423000AH1327;Les Trois-Bassins;;;;9889;a_creuser;85520;1.2;;;ecartee;20;61;92;;0;aucun;
97423000AD0463;Les Trois-Bassins;;;;211;a_creuser;85682;1.2;;;ecartee;1;62;92;;0;aucun;
97423000AD0776;Les Trois-Bassins;;;;622;a_creuser;86107;1.2;;;ecartee;1;58;92;;0;aucun;
97423000AK0588;Les Trois-Bassins;;;;1464;a_creuser;86286;1.2;;;a_creuser;51;63;92;;0;aucun;
97423000AK0504;Les Trois-Bassins;;;;950;a_creuser;86945;1.2;;;ecartee;39;62;92;;0;aucun;
97423000AI0750;Les Trois-Bassins;10 Chemin des Bougainvilliers;97426;Les Trois-Bassins;394;a_creuser;87246;1.2;;;ecartee;23;62;92;;0;aucun;
97423000AH1605;Les Trois-Bassins;;;;499;a_creuser;87789;1.2;;;ecartee;13;60;92;;0;aucun;
97423000AK0943;Les Trois-Bassins;5 Allée des Aubépines;97426;Les Trois-Bassins;171;a_creuser;87900;1.2;;;ecartee;35;60;92;;0;aucun;
97423000AK2000;Les Trois-Bassins;10 Chemin Hibon;97426;Les Trois-Bassins;928;a_creuser;88058;1.2;;;ecartee;33;61;92;;0;aucun;
97423000AH1424;Les Trois-Bassins;;;;496;a_creuser;88845;1.2;;;ecartee;1;61;92;SOCIETE FLOREBO;0;aucun;
97423000AI0381;Les Trois-Bassins;;;;663;a_creuser;88899;1.2;;;ecartee;9;71;92;SOCIETE IMMOBILIERE DEPARTEMENT REUNION;;na;
97423000AH1750;Les Trois-Bassins;;;;1467;a_creuser;88917;1.2;;;ecartee;44;60;92;;0;aucun;
97423000AH1219;Les Trois-Bassins;33 Rue du Touring Hôtel;97426;Les Trois-Bassins;284;a_creuser;89833;1.2;;;ecartee;1;63;92;;0;aucun;
97423000AE0857;Les Trois-Bassins;;;;641;a_creuser;90218;1.2;;;ecartee;9;58;92;;0;aucun;
97423000AK1205;Les Trois-Bassins;;;;349;a_creuser;90256;1.2;;;ecartee;9;62;92;UDAF REUNION;0;aucun;
97423000AK1098;Les Trois-Bassins;;;;1952;a_creuser;91634;1.2;;;ecartee;42;61;92;;0;aucun;
97423000AB0799;Les Trois-Bassins;2 Chemin des Chocas;97426;Les Trois-Bassins;689;a_creuser;91920;1.2;;;ecartee;45;56;92;;0;aucun;
97423000AH0580;Les Trois-Bassins;;;;252;a_creuser;92010;1.2;;;ecartee;1;59;92;;0;aucun;
97423000AB0210;Les Trois-Bassins;7 Allée des Cocotiers;97426;Les Trois-Bassins;636;a_creuser;93105;1.2;;;ecartee;38;63;92;;0;aucun;
97423000AI0801;Les Trois-Bassins;66 Chemin Raux;97426;Les Trois-Bassins;231;a_creuser;93140;1.2;;;ecartee;9;58;92;;0;aucun;
97423000AH0695;Les Trois-Bassins;;;;991;a_creuser;94086;1.2;;;ecartee;31;75;92;SOCIETE IMMOBILIERE DEPARTEMENT REUNION;;na;
97423000AH1805;Les Trois-Bassins;42 b Rue du Général de Gaulle;97426;Les Trois-Bassins;397;a_creuser;94447;1.2;;;ecartee;1;63;92;;0;aucun;
97423000AI0511;Les Trois-Bassins;;;;477;a_creuser;94651;1.2;;;ecartee;21;70;92;SOCIETE IMMOBILIERE DEPARTEMENT REUNION;;na;
97423000AH1217;Les Trois-Bassins;;;;192;a_creuser;95117;1.2;;;ecartee;9;63;92;;0;aucun;
97423000AH0261;Les Trois-Bassins;;;;302;a_creuser;95241;1.2;;;ecartee;1;63;92;;0;aucun;
97423000AH1296;Les Trois-Bassins;6 Allée des Perdrix;97426;Les Trois-Bassins;787;a_creuser;95432;1.2;;;ecartee;24;61;92;;0;aucun;
97423000AK0667;Les Trois-Bassins;27 Rue des Bringéliers;97426;Les Trois-Bassins;596;a_creuser;95536;1.2;;;ecartee;40;63;92;;0;aucun;
97423000AH1250;Les Trois-Bassins;9 Rue du Père Jonas Hoareau;97426;Les Trois-Bassins;398;a_creuser;95738;1.2;;;ecartee;24;63;92;;0;aucun;
97423000AD0598;Les Trois-Bassins;61 a Chemin Desbassyns;97426;Les Trois-Bassins;554;a_creuser;96255;1.2;;;ecartee;33;64;92;;0;aucun;
97423000AH0705;Les Trois-Bassins;;;;692;a_creuser;96433;1.2;;;ecartee;5;63;92;;0;aucun;
97423000AE0352;Les Trois-Bassins;;;;985;a_creuser;97286;1.2;;;ecartee;31;55;92;;0;aucun;
97423000AK1708;Les Trois-Bassins;34 b Chemin de la Croix Bigat;97426;Les Trois-Bassins;632;a_creuser;98276;1.2;;;ecartee;20;63;92;;0;aucun;
97423000AE0302;Les Trois-Bassins;;;;206;a_creuser;99184;1.2;;;ecartee;23;59;92;;0;aucun;
97423000AD0657;Les Trois-Bassins;92 Chemin Desbassyns;97426;Les Trois-Bassins;326;a_creuser;99511;1.2;;;ecartee;5;66;92;SUD HABITAT CONSEIL;;na;
97423000AH0839;Les Trois-Bassins;;;;434;a_creuser;99694;1.2;;;ecartee;11;59;92;;0;aucun;
97423000AD0743;Les Trois-Bassins;14 Chemin des Mimosas;97426;Les Trois-Bassins;739;a_creuser;99871;1.2;;;ecartee;48;59;92;;0;aucun;
97423000AK0710;Les Trois-Bassins;4 Chemin des Pamplemousses;97426;Les Trois-Bassins;469;a_creuser;100291;1.2;;;ecartee;3;61;92;;0;aucun;
97423000AK1213;Les Trois-Bassins;4 Impasse des Eucalyptus;97426;Les Trois-Bassins;912;a_creuser;100383;1.2;;;ecartee;44;62;92;;0;aucun;
